Room Name,Level,Room No.,Area (m2),Volume (m3),Window Area (m2),0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
Garden Room,1.0,100.00,17.80,57.84,19.69,0,0,0,0,0,0,0,0,1,1,1,2,2,1,2,2,2,2,0,0,0,0,0,0
Stair,1.0,101.00,13.60,44.83,0.71,0,0,0,0,0,0,0,0,0,2,2,3,3,3,3,3,3,2,1,0,0,0,0,0
Ayi Room,1.0,102.00,3.70,6.52,4.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Technical Wall,1.0,103.00,15.90,49.60,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IT Room,1.0,104.00,5.40,16.42,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Exhibit,1.0,105.00,38.20,116.76,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bathroom,1.5,200.00,3.60,10.60,0.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Utility Room,2.0,201.00,15.80,47.53,4.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stair,2.0,202.00,8.90,27.69,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corridor,2.0,203.00,20.40,60.91,12.40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Huddle Area,2.0,204.00,5.60,16.36,2.76,0,0,0,0,0,0,0,0,0,2,2,2,3,3,3,3,3,2,1,0,0,0,0,0
Closed Office North,2.0,205.00,11.00,32.21,2.76,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,1,1,1,1,0,0,0,0,0
Closed Office South,2.0,206.00,10.60,31.25,3.60,0,0,0,0,0,0,0,0,2,2,2,2,0,1,2,2,2,1,1,0,0,0,0,0
Open Office,2.0,207.00,38.60,119.76,9.12,0,0,0,0,0,0,0,0,3,4,6,6,6,6,7,7,7,7,9,0,0,0,0,0
Bathroom,2.5,300.00,3.80,11.83,0.71,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Project Room,3.0,301.00,15.80,46.85,4.61,0,0,0,0,0,0,0,0,0,1,2,3,2,2,2,2,2,2,2,0,0,0,0,0
Stair,3.0,302.00,9.30,28.99,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corridor,3.0,303.00,19.60,61.04,6.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Huddle Area,3.0,304.00,5.60,17.33,2.76,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
Closed Office North,3.0,305.00,11.20,34.90,2.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
Closed Office South,3.0,306.00,10.80,33.62,3.60,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,1,1,1,1,0,0,0,0,0
Open Office,3.0,307.00,38.70,120.46,9.12,0,0,0,0,0,0,0,0,0,2,3,3,3,3,3,3,3,3,0,0,0,0,0,0
Bathroom,3.5,400.00,3.80,16.76,0.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Storage,4.0,401.00,5.70,18.18,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stair,4.0,402.00,9.20,26.91,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corridor,4.0,403.00,19.60,57.76,9.36,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Pantry,4.0,404.00,5.70,16.78,2.76,0,0,0,0,0,0,0,0,0,0,4,16,16,0,10,10,10,10,9,0,0,0,0,0
Lounge,4.0,405.00,22.10,64.90,6.36,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0
Seminar,4.0,406.00,38.70,113.73,9.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Room,4.0,407.00,12.40,41.20,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
