Garden Room,1,100,17.8,57.84,19.69,2,5122692616065005e-21,42009855353675215e-22,4328211068550245e-21,4208686349485331e-21,4243805681988854e-21,4067536451445962e-21,4090749029329273e-21,401720585474889e-20,33952603587700806e-21,43.77982697734892,50.809916638432,101.61982520904643,101.61982690838549,50.80991847964574,101.61982518477622,101.61982710392964,101.61982682042346,101.61982585566578,26180947598717914e-21,1561156923590333e-20,11012910687162829e-21,8917744967622146e-21,749206167903192e-20,639176092473775e-20
Huddle Area,2,204,5.6,16.36,2.76,1,31024680136284674e-22,25404578763772902e-22,260363361359373e-20,25358084878675323e-22,2553560140536916e-21,2450959879564554e-21,24601699750774635e-22,2420840136073605e-21,6131465811060693e-21,85.2598536799284,101.61982635912709,101.61982694673526,152.42973610234472,152.42973594185588,152.429736468295,152.42973650766305,152.42973630348226,101.61982684297377,50.809916716680604,20311376499339398e-21,8844116192871946e-21,6340740910704083e-21,4980230661757781e-21,4053323635962559e-21
Closed Office North,2,205,11,32.21,2.76,1,3101730689683848e-21,2549273474125024e-21,26222123077697208e-22,25589298773597163e-22,2583555450190924e-21,24809320511303623e-22,2498441477093293e-21,24573780820331887e-22,18.59994881780162,50.80991141876699,101.61982548266774,0.0026910251051264836,0.0001829420975437699,6644623581002207e-20,50.806974265718324,50.80991762152199,50.80991732361583,50.8099174208526,50.809915654091064,19971465207070676e-21,8791890177143482e-21,6339257479854984e-21,4984522571039607e-21,40608424985316275e-22
Closed Office South,2,206,10.6,31.25,3.6,1,3099703967955603e-21,254428179284353e-20,2611024715653463e-21,25446762670884742e-22,25660698468525725e-22,2459372740954892e-21,24656793874059006e-22,24181645315183937e-22,70.36985290785402,101.61982512926971,101.61982648148695,101.61982703850545,0.6506046868812095,50.17258579927858,101.61982590525292,101.61982704271452,101.61982680959532,50.80991863910072,50.80991568571743,1998436852052157e-20,8795700816481954e-21,6325609207161901e-21,4983327261665351e-21,4070121610920132e-21
Open Office,2,207,38.6,119.76,9.12,4,6999756306790739e-21,5820010317466725e-21,6012799819017182e-21,591458049119209e-20,600797708717364e-20,5771250031103087e-21,585455952457748e-20,578457988532352e-20,32.6697775295158,203.2396305394607,304.8594638770485,304.85946504330735,304.8594648661238,304.8594642830963,355.6693743328181,355.66937454866536,355.66937431063144,355.6693742179283,457.2891915756531,23460719863896122e-21,14736555271054162e-21,1175529845304386e-20,991753953177705e-20,8570029291959775e-21
Project Room,3,301,15.8,46.85,4.61,2,511441323163571e-20,4235235256782777e-21,4382325028455532e-21,4295678235011358e-21,4365789901249095e-21,4199270204425598e-21,4242842628724321e-21,42091865168025214e-22,7042524091292606e-21,3.9599621298018506,101.61980778285609,152.42973595699175,101.61982749391187,101.61982623642436,101.61982707806446,101.61982707649898,101.61982681555112,101.61982679364463,101.61982503749151,2313335430603194e-20,12634312360121663e-21,9565951060942959e-21,7781738491065451e-21,65076063409802465e-22
Huddle Area,3,304,5.6,17.33,2.76,1,31034857059936613e-22,2541378473534971e-21,26034981569266373e-22,25362594849519437e-22,2552160313051644e-21,2453041595236419e-21,24583955262965624e-22,24209005556201784e-22,613987630657359e-20,33.479945139262234,50.80991642585684,50.809917519410845,50.80991735529248,50.80991681629325,50.80991753576782,50.80991754958683,50.809917310804856,50.809916749580744,2997703971466091e-20,13499762334767131e-21,7724355570768253e-21,5884940350648941e-21,4774124150248684e-21,39689434413028335e-22
Closed Office North,3,305,11.2,34.9,2.76,1,31032583185023958e-22,25556199212626983e-22,263638955500745e-20,25790668491779573e-22,26107138605126677e-22,25071743094777386e-22,2525402975517376e-21,24902476297140007e-22,7025535793151357e-21,6691710407808149e-21,72821974303283715e-22,7700137919293442e-21,7613628429000908e-21,7300835336344178e-21,15.909977630759474,50.809911755524546,50.80991732637619,50.80991746516311,50.80991556508163,19905551111571208e-21,8785564349163922e-21,6323125414751914e-21,4979935756548956e-21,4058437908946945e-21
Closed Office South,3,306,10.8,33.62,3.6,1,3102732001399472e-21,25464093283100393e-22,2613501407129436e-21,25487598768005984e-22,2571697457420405e-21,24702747651897046e-22,24803625145991176e-22,24385855514612624e-22,6278375319139208e-21,5904233573705614e-21,67.99986167944864,0.7408034885621804,0.3280955761987108,100.57708132296139,50.80991881818838,50.809917629793595,50.8099173250466,50.80991744375625,50.809915608479834,1993374589288317e-20,8788513023028083e-21,6324998682297398e-21,4983453315046077e-21,4060316909142446e-21
Open Office,3,307,38.7,120.46,9.12,4,7018098273749557e-21,5777238266342192e-21,5899905960902335e-21,5789227864006575e-21,5859608836482795e-21,5610051537034167e-21,5650933681289823e-21,5553786621943485e-21,6473795429029877e-21,20167563984756654e-21,133.58957443256793,152.42973639338328,152.42973647322552,152.42973546377476,152.4297367197697,152.42973666942834,152.4297363321664,152.42973489232654,24471653225582665e-21,1612146145111792e-20,12796951892649106e-21,10920335920402894e-21,9544881316915878e-21,8413029658746415e-21
Lounge,4,405,22.1,64.9,6.36,2,5123019063433576e-21,4232912392461384e-21,4375036204128469e-21,4290232070521814e-21,4356580736269258e-21,419005484346273e-20,4233597476652695e-21,41677314713655805e-22,69561289041787324e-22,1930113478438356e-20,2516630524539345e-20,36.71983870518925,0.0004805701358338195,9290959172178525e-20,50.809349631154255,50.809915481520136,3224336846425314e-20,20433203346749486e-21,14563564781258642e-21,11880941428292888e-21,9580726511362666e-21,822198922245114e-20,7158865641347765e-21,6250741955903227e-21
Seminar,4,406,38.7,113.73,9.12,4,70204261053477366e-22,5783927820531297e-21,5949774756628539e-21,5826662605785335e-21,59195756275353755e-22,5685180788717615e-21,5716629142444848e-21,5658313935988559e-21,6638313477951333e-21,630681439290121e-20,89.5096830929724,812.9585560481249,812.958559805786,0.00010449825850177594,508.09900260503235,508.0991030268161,508.09910280680515,508.099102659959,457.28919200367795,2349272254551078e-20,14744605151730775e-21,1174949809474969e-20,992738050557101e-20,8575349082037756e-21
0,0,0,0,0,0,0,5501178429418577e-20,453277304554054e-19,4663831259376272e-20,45628568459248726e-21,4619109493926392e-20,44345099197742736e-21,44677763339008233e-21,4403692077259314e-20,121.6396658937902,522.1490133852959,1104.0577347009669,1815.8102310744998,1677.7064403940117,963.7085354982518,1692.6334661755973,1727.5370120136631,1676.727131727867,1575.1072994141548,1270.2478830400782,0.00022730703839690333,0.00012723620200353822,9866948976463142e-20,8150806088201557e-20,6898050325917181e-20
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Garden Room,1,100,17.8,57.84,19.69,2,400,400.00003536301864,400.00007072605604,400.00010608910543,400.00014145217074,400.00017681524355,400.00021217833336,400.000247541433,927.0737235070557,999.9999579473621,999.9999587443903,999.9999765275843,999.9999764053882,999.9999585212415,999.9999766288418,999.9999760677032,999.9999765695541,999.9999799537026,999.9997576136591,999.9996574508763,999.9996185810462,999.9996200109149,999.9996670787395,999.9998004004248
Huddle Area,2,204,5.6,16.36,2.76,1,400,400.0001250253487,400.0002500508034,400.00037507630964,400.00050010188227,400.0006251274796,400.00075015314866,400.00087517887147,400.00100020812886,999.9999763906187,999.9999782271487,999.9999766443386,999.9999845771524,999.9999853569814,999.999984375245,999.9999842270611,999.9999845971155,999.9999772356266,999.9999604428023,999.999347689337,999.9991891024351,999.9991649430439,999.9992600181249,999.9995560116836
Closed Office North,2,205,11,32.21,2.76,1,400,400.0000666523739,400.0001333047778,400.0001999571954,400.0002666096304,400.00033326206943,400.00039991453053,400.0004665670012,999.9998737299582,999.9999617798154,999.999978422585,999.9496363203293,999.9462952447351,999.9451286170305,999.9999532709089,999.9999520578848,999.9999530461951,999.9999519048276,999.999961500547,999.9996578725867,999.999579581074,999.9995688028207,999.9996187900167,999.9997715959423
Closed Office South,2,206,10.6,31.25,3.6,1,400,400.0000686988781,400.00013739778404,400.00020609670594,400.0002747956499,400.0003434946007,400.0004121935691,400.0004808925456,999.9999688052011,999.9999803791223,999.9999784068543,999.9999764495692,987.7632004817185,999.9999567881891,999.9999765915047,999.9999762230713,999.9999767554366,999.9999520129019,999.9999614227193,999.9996481194402,999.9995672418412,999.9995562479049,999.9996076376344,999.9997647563804
Open Office,2,207,38.6,119.76,9.12,4,400,400.0000179262175,400.00003585244167,400.00005377867194,400.00007170490943,400.00008963115,400.00010755739896,400.00012548365305,999.9999196809849,999.999990410794,999.9999928367083,999.9999921927237,999.9999921944321,999.9999927963262,999.9999933130499,999.9999932016655,999.999993352809,999.9999933643252,999.9999958500749,999.999902603854,999.9998611268775,999.9998444064723,999.9998525638538,999.9999048152466
Project Room,3,301,15.8,46.85,4.61,2,400,400.00004366183737,400.0000873237093,400.00013098560004,400.00017464751716,400.00021830943945,400.0002619713912,400.0003056333856,400.0003492957239,999.9997408386727,999.9999785919367,999.9999844017408,999.9999765148128,999.9999784717437,999.9999766134248,999.9999761321619,999.9999766467363,999.9999764379679,999.9999819424669,999.9997437687018,999.9996570867082,999.9996307552359,999.9996611529748,999.9997889223695
Huddle Area,3,304,5.6,17.33,2.76,1,400,400.00011802765863,400.00023605541304,400.0003540832132,400.00047211106755,400.00059013894946,400.0007081668843,400.0008261948723,400.0009442260297,999.9999414531297,999.9999568951366,999.999953185938,999.9999532700155,999.9999566514642,999.9999531925978,999.9999524065148,999.9999534635206,999.9999576726275,999.9990766849616,999.9987983204256,999.9987552476043,999.9988252448229,999.9990169407364,999.9994401898545
Closed Office North,3,305,11.2,34.9,2.76,1,400,400.0000682915062,400.0001365830446,400.00020487459295,400.0002731661543,400.00034145770985,400.00040974928214,400.0004780408653,400.0005463335377,400.0006146262339,400.00068291918336,400.00075121238166,400.0008195056332,400.0008877989311,999.9998521729792,999.9999519942701,999.9999529699495,999.9999515994123,999.9999616981206,999.999682760342,999.9996107616448,999.9996012326662,999.9996476250361,999.999788955452
Closed Office South,3,306,10.8,33.62,3.6,1,400,400.0000664186944,400.00013283741373,400.0001992561453,400.00026567489425,400.0003320936497,400.00039851242127,400.0004649312028,400.00053135091423,400.00059777063035,999.999967745812,987.0643053941942,981.3906070078676,999.9999780919985,999.9999532840433,999.9999520245876,999.9999530062627,999.9999517452229,999.9999616008761,999.9996714543558,999.9995965754231,999.9995865568633,999.9996345453719,999.9997810682751
Open Office,3,307,38.7,120.46,9.12,4,400,400.0000185370428,400.0000370740916,400.00005561114637,400.0000741482082,400.0000926852729,400.0001112223446,400.0001297594199,400.00014829651406,906.1589016170964,999.9999841063008,999.9999843092432,999.9999841189822,999.9999859083746,999.999984440202,999.9999839565594,999.9999842734455,999.9999873290004,999.9998897178843,999.9998405404917,999.9998154634392,999.9998099777123,999.9998282884176,999.999893193336
Lounge,4,405,22.1,64.9,6.36,2,400,400.00003649914504,400.00007299830617,400.0001094974789,400.0001459966672,400.00018249586157,400.00021899507175,400.00025549428943,400.00029199370306,869.7374106743285,869.7372650233141,999.999934517293,999.9955269244476,999.9947043037831,999.9999534556594,999.9999636009852,999.9997135945895,999.9995824762489,999.9995149156663,999.9994829169635,999.9994859637225,999.9995214487567,999.9996006360913,999.999771437408
Seminar,4,406,38.7,113.73,9.12,4,400,400.00001963403486,400.00003926807693,400.00005890212526,400.00007853618223,400.00009817024295,400.0001178043101,400.00013743838446,400.0001570724809,400.0001767065769,999.9999767467109,999.9999970812933,999.9999971132287,999.9994659903022,999.999995315902,999.9999952544662,999.9999953628507,999.9999954146114,999.9999958349331,999.9998974748438,999.9998537620767,999.9998361861803,999.9998447356069,999.9998997514322
0,0,0,0,0,0,0,400,400.00003783093746,400.000075661894,400.0001134928621,400.0001513238448,400.00018915483264,400.00022698583564,400.0002648168501,603.7377144949942,812.6723377756781,957.3511120997688,968.984046264422,968.1518753171862,969.6142686665956,999.999972854039,999.999978512155,999.9999553497177,999.9999424422298,999.9998805525263,999.9997336958589,999.9996865529305,999.9996806731413,999.9997166081383,999.999828305711
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
