,,,,PM2.5 (ug/m3),,,,,,,,,,,,,,,
Year,Month,Day,Hour,100,105,201,205,206,301,305,306,307,405,406,T_amb,RH_amb,T_avg,RH_avg,CO2_avg
2017,3,1,0,11.7,6.3,5.2,3.3,-16,3.5,8.5,2,3,1.9,1.5,10.2,74.2,22.9,44.1,424.4
2017,3,1,1,13.8,6.6,5.2,2.2,-120.6,3,7.8,2.8,3.8,2,1.5,9.8,75.7,22.9,43.7,421.8
2017,3,1,2,13.3,7.1,4.8,2.4,3.2,2.5,4.8,1.5,2.4,1.6,0.9,9.3,77.9,22.9,43.6,413
2017,3,1,3,14.6,7.8,5.3,2.8,3,4.1,6,1.9,2.7,1.4,1.4,8.6,81.2,22.9,43.2,414.6
2017,3,1,4,14.2,7.1,6.2,2.1,3.1,2.3,8.8,3.3,3.9,2.2,1.7,8.8,81.6,22.9,43.2,410.4
2017,3,1,5,15.1,8.4,5.4,4.6,-33.1,3.9,9.9,1.7,4.2,2.2,1.1,8.6,83.3,22.8,43.2,410.3
2017,3,1,6,17.7,17.4,21.2,10.7,11.2,11.1,12.6,4.7,9.4,6.9,5.3,7.9,85,22.7,46.3,427.5
2017,3,1,7,17.4,15.4,17.9,9.4,44.4,9.5,14.8,4.1,9.2,8.3,5.9,8.1,86.1,22.8,47.5,432.7
2017,3,1,8,19.4,18.3,24.3,9.2,297.2,10.1,15.6,6.1,10.2,7.9,6.3,10.2,79.6,22.8,48.6,453
2017,3,1,9,21.6,20.1,26.5,10.3,-16,11.9,20.2,4.7,9.4,9.6,8.5,13.5,63.4,22.9,48.8,493.7
2017,3,1,10,34.7,28.8,38.7,15.4,-16,20.4,26.8,10.4,17,17.5,11.9,15.8,52.4,23,48.4,522.2
2017,3,1,11,39.2,32.8,38.8,19.5,-16,26.1,29.2,12.8,22.1,18,14.4,16.7,44.4,23.1,48,567.4
2017,3,1,12,37.9,35.9,38.3,20.1,-16,22,34,15.8,17.6,16.8,20.8,17,44.2,23.2,47.8,565.8
2017,3,1,13,32.7,29.5,33.3,18.2,-16,20.5,28.9,13,19,16.8,15.8,16.6,43.5,23.2,47.5,544.9
2017,3,1,14,25,26.1,25.8,13.4,17.8,19.8,19.8,9.9,12.8,12.9,9.2,17.7,36.8,23.2,46.8,549.2
2017,3,1,15,25.3,23.8,28.6,12.3,-16,18.4,20.2,11.4,10.4,12,11.4,17.5,36,23.2,46.3,588.2
2017,3,1,16,37.3,31.5,31.6,18.5,25.9,18,32.7,12.9,17.5,13.9,14.5,17.1,39.6,23.3,47.2,588
2017,3,1,17,27,26.5,23.7,14.4,21.6,16.2,25.6,10.7,13.5,13.7,11.4,16.3,37.8,23.3,46.2,573.1
2017,3,1,18,17.2,15.6,18.3,12.4,13.5,9.9,16.1,6.9,11,8.2,8.3,10.6,70.2,23.1,47.7,535.2
2017,3,1,19,16.4,13,15.8,12.8,12.9,9.2,12.6,5.1,11.1,8.6,6.9,12.1,55.2,23.1,47.6,525.8
2017,3,1,20,17.5,14,15.6,9.7,11.5,9.9,12.9,5.9,10.9,7.1,7.8,11.8,54.8,23,46.9,473.8
2017,3,1,21,20.6,13.8,9.4,4.7,5.5,7.4,13.9,4.4,8.3,4.7,2.3,11.8,54.4,23,45.4,479.2
2017,3,1,22,27.1,14.2,11.4,4.7,6.1,9,17,5.8,10.3,5.2,3.3,11.2,56.1,23,44.4,483.1
2017,3,1,23,35.4,20.6,14.2,6.1,-16,12,19.1,6.3,15.7,8.2,5.8,8.9,68.2,22.9,43.7,461.9
