March 1 2017 Xuhui Air Quality Data,,,
Hour,PM2.5 (ug/m3),CO2 (ppm),AHR
0,60,400,0.005
1,65,400,0.0063
2,57,400,0.0074
3,59,400,0.0079
4,55,400,0.009
5,61,400,0.0096
6,58,400,0.0099
7,59,400,0.009
8,63,400,0.0087
9,72,400,0.0087
10,56,400,0.0079
11,46,400,0.0063
12,48,400,0.0051
13,55,400,0.0043
14,45,400,0.0039
15,44,400,0.0036
16,48,400,0.0037
17,53,400,0.0034
18,72,400,0.0038
19,71,400,0.0042
20,70,400,0.004
21,69,400,0.0039
22,69,400,0.004
23,67,400,0.0043
24,64,400,0.0053
25,66,400,0.0058
26,65,400,0.0077
27,67,400,0.0094
28,69,400,0.01
29,70,400,0.0103
30,77,400,0.01
31,97,400,0.0103
32,128,400,0.0115
33,147,400,0.0105
34,145,400,0.0099
35,137,400,0.0096
36,119,400,0.0081
37,79,400,0.0069
38,78,400,0.007
39,70,400,0.0065
40,73,400,0.0059
41,92,400,0.0059
42,88,400,0.0059
43,100,400,0.0067
44,126,400,0.0072
45,111,400,0.0074
46,115,400,0.007
47,116,400,0.0074
48,112,400,0.0074
49,127,400,0.0079
50,134,400,0.0086
51,151,400,0.0095
52,156,400,0.0098
53,153,400,0.0112
54,152,400,0.0111
55,144,400,0.0115
56,144,400,0.0116
57,143,400,0.0105
58,135,400,0.0092
59,139,400,0.0084
60,141,400,0.0076
61,135,400,0.0074
62,127,400,0.0087
63,132,400,0.0087
64,124,400,0.0096
65,118,400,0.0096
66,131,400,0.0087
67,141,400,0.0096
68,167,400,0.0097
69,163,400,0.0091
70,148,400,0.0091
71,136,400,0.0097
72,132,400,0.0106
73,131,400,0.0113
74,121,400,0.012
75,123,400,0.012
76,114,400,0.012
77,107,400,0.012
78,127,400,0.0109
79,136,400,0.0103
80,138,400,0.0099
81,132,400,0.0096
82,113,400,0.0093
83,126,400,0.009
84,111,400,0.0081
85,118,400,0.0081
86,132,400,0.0081
87,135,400,0.0081
88,147,400,0.0084
89,143,400,0.0093
90,115,400,0.0093
91,108,400,0.009
92,109,400,0.0085
93,114,400,0.0082
94,95,400,0.0072
95,66,400,0.007
96,57,400,0.0072
97,37,400,0.0069
98,30,400,0.0071
99,35,400,0.0071
100,23,400,0.0071
101,10,400,0.0069
102,18,400,0.0071
103,23,400,0.0074
104,25,400,0.0077
105,21,400,0.0077
106,21,400,0.0072
107,24,400,0.0074
108,24,400,0.0069
109,25,400,0.0067
110,27,400,0.0063
111,24,400,0.0058
112,22,400,0.0058
113,32,400,0.006
114,33,400,0.0062
115,40,400,0.0062
116,45,400,0.0061
117,42,400,0.0059
118,36,400,0.0059
119,31,400,0.0059
120,30,400,0.0063
121,40,400,0.0063
122,45,400,0.0069
123,53,400,0.0077
124,48,400,0.0076
125,49,400,0.0079
126,45,400,0.0082
127,46,400,0.0082
128,43,400,0.0079
129,46,400,0.0077
130,49,400,0.0072
131,51,400,0.0065
132,55,400,0.0058
133,61,400,0.0057
134,59,400,0.0051
135,53,400,0.0051
136,57,400,0.005
137,58,400,0.005
138,67,400,0.005
139,67,400,0.0051
140,61,400,0.0048
141,55,400,0.0045
142,55,400,0.0043
143,55,400,0.0051
144,53,400,0.0055
145,59,400,0.0061
146,61,400,0.006
147,66,400,0.006
148,68,400,0.0059
149,67,400,0.0062
150,73,400,0.0056
151,73,400,0.0056
152,76,400,0.0054
153,80,400,0.0054
154,82,400,0.0045
155,92,400,0.0032
156,98,400,0.0026
157,102,400,0.0024
158,109,400,0.0022
159,111,400,0.002
160,100,400,0.002
161,112,400,0.002
162,101,400,0.002
163,98,400,0.0026
164,74,400,0.0026
165,59,400,0.0026
166,61,400,0.0029
167,58,400,0.0029
168,61,400,0.0032
169,53,400,0.0038
170,50,400,0.0041
171,47,400,0.0045
172,48,400,0.0052
173,38,400,0.006
174,46,400,0.006
175,54,400,0.0066
176,60,400,0.006
177,52,400,0.0054
178,67,400,0.0046
179,72,400,0.0037
180,76,400,0.003
181,66,400,0.0028
182,73,400,0.0024
183,82,400,0.0023
184,88,400,0.0024
185,91,400,0.0023
186,95,400,0.0024
187,104,400,0.0023
188,105,400,0.0026
189,99,400,0.0026
190,99,400,0.0027
191,96,400,0.0026
192,92,400,0.0029
193,95,400,0.0032
194,99,400,0.0041
195,96,400,0.0047
196,102,400,0.0048
197,105,400,0.0053
198,108,400,0.0056
199,111,400,0.0058
200,113,400,0.006
201,117,400,0.0062
202,118,400,0.0061
203,130,400,0.0059
204,121,400,0.0057
205,128,400,0.0057
206,124,400,0.0051
207,128,400,0.0051
208,130,400,0.0049
209,138,400,0.0049
210,133,400,0.0055
211,130,400,0.0063
212,121,400,0.007
213,114,400,0.0074
214,102,400,0.0077
215,93,400,0.0077
216,91,400,0.0079
217,74,400,0.0082
218,70,400,0.0093
219,69,400,0.0093
220,68,400,0.009
221,63,400,0.0087
222,72,400,0.0087
223,64,400,0.009
224,68,400,0.0093
225,69,400,0.0088
226,61,400,0.0085
227,58,400,0.0082
228,43,400,0.008
229,48,400,0.008
230,51,400,0.0069
231,47,400,0.006
232,52,400,0.0057
233,61,400,0.0059
234,71,400,0.0072
235,67,400,0.0072
236,63,400,0.0072
237,59,400,0.0067
238,58,400,0.0067
239,54,400,0.0065
240,63,400,0.0063
241,63,400,0.0067
242,57,400,0.007
243,48,400,0.0067
244,40,400,0.0067
245,26,400,0.0069
246,33,400,0.0071
247,44,400,0.0069
248,56,400,0.0063
249,67,400,0.006
250,56,400,0.0058
251,61,400,0.0056
252,55,400,0.0055
253,58,400,0.0055
254,68,400,0.0051
255,68,400,0.0051
256,44,400,0.0047
257,41,400,0.0047
258,44,400,0.0046
259,44,400,0.0043
260,32,400,0.0041
261,31,400,0.0043
262,33,400,0.0041
263,42,400,0.0043
264,40,400,0.0041
265,38,400,0.0044
266,28,400,0.0047
267,32,400,0.0049
268,35,400,0.0047
269,37,400,0.0047
270,34,400,0.0046
271,39,400,0.0047
272,46,400,0.0047
273,39,400,0.0049
274,47,400,0.0046
275,45,400,0.0043
276,43,400,0.0038
277,54,400,0.0034
278,57,400,0.0032
279,60,400,0.0035
280,57,400,0.0033
281,52,400,0.0031
282,55,400,0.0034
283,56,400,0.003
284,45,400,0.003
285,49,400,0.0031
286,56,400,0.0034
287,59,400,0.0034
288,63,400,0.0037
289,71,400,0.0043
290,86,400,0.0044
291,96,400,0.0049
292,103,400,0.0053
293,104,400,0.0053
294,112,400,0.0049
295,113,400,0.0051
296,114,400,0.0051
297,126,400,0.005
298,140,400,0.0048
299,140,400,0.004
300,140,400,0.0036
301,136,400,0.0031
302,136,400,0.0027
303,141,400,0.0026
304,155,400,0.0024
305,153,400,0.0023
306,147,400,0.0024
307,151,400,0.0024
308,162,400,0.0024
309,163,400,0.0026
310,159,400,0.0025
311,153,400,0.0031
312,149,400,0.0033
313,146,400,0.0038
314,139,400,0.0042
315,137,400,0.0046
316,134,400,0.0053
317,145,400,0.0056
318,154,400,0.006
319,166,400,0.0062
320,169,400,0.0065
321,180,400,0.0063
322,167,400,0.0055
323,157,400,0.0046
324,155,400,0.0039
325,160,400,0.0028
326,156,400,0.0027
327,154,400,0.0024
328,152,400,0.0026
329,142,400,0.0023
330,143,400,0.0017
331,212,400,0.002
332,201,400,0.0021
333,175,400,0.002
334,175,400,0.0024
335,178,400,0.0033
336,187,400,0.0044
337,178,400,0.0042
338,170,400,0.0052
339,163,400,0.0064
340,155,400,0.0068
341,151,400,0.0076
