Room Name,Level,Room No.,Area (m2),Volume (m3),Window Area (m2),NumDiffusers,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
Garden Room,1,100,17.8,57.84,19.69,2,0,0,0,0,0,0,0,0,1,1,1,2,2,1,2,2,2,2,0,0,0,0,0,0
Huddle Area,2,204,5.6,16.36,2.76,1,0,0,0,0,0,0,0,0,0,2,2,2,3,3,3,3,3,2,1,0,0,0,0,0
Closed Office North,2,205,11,32.21,2.76,1,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,1,1,1,1,0,0,0,0,0
Closed Office South,2,206,10.6,31.25,3.6,1,0,0,0,0,0,0,0,0,2,2,2,2,0,1,2,2,2,1,1,0,0,0,0,0
Open Office,2,207,38.6,119.76,9.12,4,0,0,0,0,0,0,0,0,3,4,6,6,6,6,7,7,7,7,9,0,0,0,0,0
Project Room,3,301,15.8,46.85,4.61,2,0,0,0,0,0,0,0,0,0,1,2,3,2,2,2,2,2,2,2,0,0,0,0,0
Huddle Area,3,304,5.6,17.33,2.76,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
Closed Office North,3,305,11.2,34.9,2.76,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
Closed Office South,3,306,10.8,33.62,3.6,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,1,1,1,1,0,0,0,0,0
Open Office,3,307,38.7,120.46,9.12,4,0,0,0,0,0,0,0,0,0,2,3,3,3,3,3,3,3,3,0,0,0,0,0,0
Lounge,4,405,22.1,64.9,6.36,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0
Seminar,4,406,38.7,113.73,9.12,4,0,0,0,0,0,0,0,0,0,0,4,16,16,0,10,10,10,10,9,0,0,0,0,0
