"AHU","dampers","Cap_ex","Op_ex","NPC","feasibility","fmax","pmax","hmax"
"1","1","50000","27012.864397918125","386639.99808136537","Infeasible","4877.751328796026","382688.8489309358","57.75752427143844"
"1","2","55000","27045.578948095732","392047.6936869403","Infeasible","4572.8919338279775","355483.9629267904","59.78616434222665"
"1","3","60000","26847.196243012215","394575.4066878674","Infeasible","4572.891869293375","354753.14967606496","58.706110008216136"
"1","4","65000","26890.62928655708","400116.67841234023","Infeasible","4369.662470586701","349785.61189797986","59.14016186245234"
"1","5","70000","26567.68422117764","401092.0690784963","Infeasible","4166.691897451659","345380.86541173956","58.292353395007545"
"1","6","75000","27955.70930275511","423389.92960583593","Infeasible","3648.7849919665514","367031.67541451997","58.72605170906477"
"1","7","80000","27185.402901696503","418790.2092076388","Infeasible","3330.02397268262","354687.3397179337","58.3703637166723"
"1","8","85000","24654.16113240541","392245.34185091","Infeasible","3171.486235795427","342924.9587943903","50.63403435439019"
"1","9","90000","27313.39462808837","430385.269024039","Infeasible","2960.240993462603","354654.44995088293","58.656738911340284"
"1","10","95000","26353.476595518216","423422.5685905526","Infeasible","2749.367367816064","341803.9602972883","55.41845746996825"
"1","11","100000","24447.965582379176","404675.68953478726","Infeasible","2083.4043721008516","316139.9988566772","52.13838384352813"
"1","12","105000","23661.46658967001","399874.1736534499","Feasible","1829.157158963994","299955.0328967214","49.54507888868377"
"1","13","110000","22618.906026237106","391881.564617112","Feasible","1815.095024867073","290400.0038811873","49.54473123487219"
"2","1","100000","29234.17823842616","464322.4783985718","Infeasible","4877.751312899036","416338.94420670625","75.84951371438238"
"2","2","105000","26323.24556440899","433045.8231219975","Infeasible","4572.891861726372","364948.2087676838","60.22046232918335"
"2","3","110000","26017.393250656427","434234.22725426045","Infeasible","4572.891164370639","360098.1526953009","57.92834638290865"
"2","4","115000","25463.615466772935","432332.93202847877","Infeasible","4369.656438349543","349231.43579337833","54.46896878297203"
"2","5","120000","26072.102905723597","444916.0304834754","Infeasible","4166.491644304335","358364.994203098","56.91972472130113"
"2","6","125000","25571.809823806878","443681.2728637116","Feasible","3649.5393966010565","354913.301432783","57.4889935262152"
"2","7","130000","25227.083983701057","444385.2269338041","Feasible","3330.7699943091716","346671.79354187986","57.096627673844516"
"2","8","135000","24671.93780799287","442466.8785212721","Feasible","3170.6045494862447","347591.4496807368","57.522110659825195"
"2","9","140000","24581.490747422256","446339.7082275766","Feasible","2960.731393675897","334888.98136041395","56.38273332596799"
